season,round,series_letter,team_hi,team_lo,winner,hi_won,series_result,points_hi,points_lo,points_diff,wins_hi,wins_lo,wins_diff,win_pct_hi,win_pct_lo,win_pct_diff,goal_diff_hi,goal_diff_lo,goal_diff_diff,points_pct_hi,points_pct_lo,points_pct_diff,goals_for_pg_hi,goals_for_pg_lo,goals_for_pg_diff,goals_against_pg_hi,goals_against_pg_lo,goals_against_pg_diff
20102011,1,A,WSH,NYR,WSH,1,4-1,107,93,14,48,44,4,0.5853658536585366,0.5365853658536586,0.04878048780487798,27,35,-8,0.6524390243902439,0.5670731707317073,0.08536585365853666,2.731707317073171,2.841463414634146,-0.10975609756097526,2.402439024390244,2.414634146341464,-0.012195121951219967
20102011,1,B,PHI,BUF,PHI,1,4-3,106,96,10,47,43,4,0.573170731707317,0.524390243902439,0.04878048780487798,36,16,20,0.6463414634146342,0.5853658536585366,0.060975609756097615,3.158536585365854,2.9878048780487805,0.17073170731707332,2.7195121951219514,2.792682926829268,-0.0731707317073167
20102011,1,C,BOS,MTL,BOS,1,4-3,103,96,7,46,44,2,0.5609756097560976,0.5365853658536586,0.024390243902439046,51,7,44,0.6280487804878049,0.5853658536585366,0.04268292682926833,3.0,2.6341463414634148,0.36585365853658525,2.3780487804878048,2.548780487804878,-0.17073170731707332
20102011,1,D,PIT,TBL,TBL,0,4-3,106,103,3,49,46,3,0.5975609756097561,0.5609756097560976,0.03658536585365846,39,7,32,0.6463414634146342,0.6280487804878049,0.018292682926829285,2.902439024390244,3.0121951219512195,-0.10975609756097571,2.426829268292683,2.926829268292683,-0.5
20102011,1,E,VAN,CHI,VAN,1,4-3,117,97,20,54,44,10,0.6585365853658537,0.5365853658536586,0.12195121951219512,77,33,44,0.7134146341463414,0.5914634146341463,0.12195121951219512,3.1951219512195124,3.1463414634146343,0.04878048780487809,2.256097560975609,2.7439024390243905,-0.48780487804878137
20102011,1,F,SJS,LAK,SJS,1,4-2,105,98,7,48,46,2,0.5853658536585366,0.5609756097560976,0.024390243902438935,35,21,14,0.6402439024390244,0.5975609756097561,0.04268292682926833,3.024390243902439,2.6707317073170733,0.3536585365853657,2.597560975609756,2.414634146341464,0.1829268292682924
20102011,1,G,DET,PHX,DET,1,4-0,104,99,5,47,43,4,0.573170731707317,0.524390243902439,0.04878048780487798,20,5,15,0.6341463414634146,0.6036585365853658,0.030487804878048808,3.182926829268293,2.817073170731707,0.3658536585365857,2.9390243902439024,2.756097560975609,0.1829268292682933
20102011,1,H,ANA,NSH,NSH,0,4-2,99,99,0,47,44,3,0.573170731707317,0.5365853658536586,0.03658536585365846,4,25,-21,0.6036585365853658,0.6036585365853658,0.0,2.914634146341464,2.6707317073170733,0.24390243902439046,2.865853658536585,2.365853658536585,0.5
20102011,2,I,WSH,TBL,TBL,0,4-0,107,103,4,48,46,2,0.5853658536585366,0.5609756097560976,0.024390243902438935,27,7,20,0.6524390243902439,0.6280487804878049,0.024390243902439046,2.731707317073171,3.0121951219512195,-0.2804878048780486,2.402439024390244,2.926829268292683,-0.524390243902439
20102011,2,J,PHI,BOS,BOS,0,4-0,106,103,3,47,46,1,0.573170731707317,0.5609756097560976,0.012195121951219412,36,51,-15,0.6463414634146342,0.6280487804878049,0.018292682926829285,3.158536585365854,3.0,0.1585365853658538,2.7195121951219514,2.3780487804878048,0.34146341463414664
20102011,2,K,VAN,NSH,VAN,1,4-2,117,99,18,54,44,10,0.6585365853658537,0.5365853658536586,0.12195121951219512,77,25,52,0.7134146341463414,0.6036585365853658,0.1097560975609756,3.1951219512195124,2.6707317073170733,0.524390243902439,2.256097560975609,2.365853658536585,-0.10975609756097571
20102011,2,L,SJS,DET,SJS,1,4-3,105,104,1,48,47,1,0.5853658536585366,0.573170731707317,0.012195121951219523,35,20,15,0.6402439024390244,0.6341463414634146,0.0060975609756097615,3.024390243902439,3.182926829268293,-0.1585365853658538,2.597560975609756,2.9390243902439024,-0.3414634146341462
20102011,3,M,BOS,TBL,BOS,1,4-3,103,103,0,46,46,0,0.5609756097560976,0.5609756097560976,0.0,51,7,44,0.6280487804878049,0.6280487804878049,0.0,3.0,3.0121951219512195,-0.012195121951219523,2.3780487804878048,2.926829268292683,-0.5487804878048781
20102011,3,N,VAN,SJS,VAN,1,4-1,117,105,12,54,48,6,0.6585365853658537,0.5853658536585366,0.07317073170731714,77,35,42,0.7134146341463414,0.6402439024390244,0.07317073170731703,3.1951219512195124,3.024390243902439,0.17073170731707332,2.256097560975609,2.597560975609756,-0.3414634146341471
20102011,4,O,VAN,BOS,BOS,0,4-3,117,103,14,54,46,8,0.6585365853658537,0.5609756097560976,0.09756097560975607,77,51,26,0.7134146341463414,0.6280487804878049,0.08536585365853655,3.1951219512195124,3.0,0.19512195121951237,2.256097560975609,2.3780487804878048,-0.12195121951219567
