stat,label,accuracy,correlation,auc,n_series
goals_against_pg,Goals Against / Game,0.5964125560538116,0.2152544058567443,0.6215269841269841,225
goal_diff,Goal Differential,0.5892857142857143,0.2185058692987239,0.6444476190476192,225
wins,Wins,0.568075117370892,0.20962300544665233,0.6356777777777778,225
win_pct,Win %,0.568075117370892,0.2039502146992305,0.6343253968253968,225
points,Points,0.547945205479452,0.22022643042948753,0.6435222222222223,225
points_pct,Points %,0.547945205479452,0.22292561762957028,0.6367730158730159,225
goals_for_pg,Goals For / Game,0.515695067264574,0.02409233575859831,0.5133396825396825,225
