team,season,goalie_name,goalie_gp,gsax,gsax_pg
VGK,2020,Marc-Andre Fleury,36,17.92,0.4977777777777778
WPG,2020,Connor Hellebuyck,45,19.25,0.42777777777777776
WSH,2020,Vitek Vanecek,37,-7.280000000000001,-0.1967567567567568
ANA,2021,John Gibson,56,-14.259999999999991,-0.254642857142857
ARI,2021,Karel Vejmelka,52,-23.19999999999999,-0.44615384615384596
BOS,2021,Linus Ullmark,41,5.689999999999998,0.138780487804878
BUF,2021,Craig Anderson,31,-8.689999999999998,-0.2803225806451612
CAR,2021,Frederik Andersen,52,27.819999999999993,0.5349999999999999
CBJ,2021,Elvis Merzlikins,59,4.030000000000001,0.06830508474576273
CGY,2021,Jacob Markstrom,63,10.840000000000003,0.1720634920634921
CHI,2021,Kevin Lankinen,32,-28.620000000000005,-0.8943750000000001
COL,2021,Darcy Kuemper,57,20.97,0.3678947368421052
DAL,2021,Jake Oettinger,48,1.4300000000000068,0.02979166666666681
DET,2021,Alex Nedeljkovic,59,-6.930000000000007,-0.11745762711864419
EDM,2021,Mikko Koskinen,45,-6.840000000000003,-0.15200000000000008
FLA,2021,Sergei Bobrovsky,54,23.389999999999986,0.4331481481481479
LAK,2021,Jonathan Quick,46,17.80000000000001,0.3869565217391307
MIN,2021,Marc-Andre Fleury,56,-17.610000000000014,-0.314464285714286
MTL,2021,Sam Montembeault,38,-17.290000000000006,-0.4550000000000002
NJD,2021,Mackenzie Blackwood,25,-12.739999999999995,-0.5095999999999998
NSH,2021,Juuse Saros,67,20.689999999999998,0.3088059701492537
NYI,2021,Ilya Sorokin,52,12.77000000000001,0.24557692307692328
NYR,2021,Igor Shesterkin,53,34.099999999999994,0.6433962264150942
OTT,2021,Anton Forsberg,46,8.460000000000008,0.18391304347826104
PHI,2021,Carter Hart,45,-6.560000000000002,-0.14577777777777784
PIT,2021,Tristan Jarry,58,12.759999999999991,0.21999999999999983
SEA,2021,Philipp Grubauer,55,-33.74000000000001,-0.6134545454545456
SJS,2021,James Reimer,48,0.12000000000000455,0.0025000000000000946
STL,2021,Ville Husso,40,13.540000000000006,0.33850000000000013
TBL,2021,Andrei Vasilevskiy,63,28.409999999999997,0.4509523809523809
TOR,2021,Jack Campbell,49,-2.3400000000000034,-0.0477551020408164
VAN,2021,Thatcher Demko,64,10.5,0.1640625
VGK,2021,Robin Lehner,44,6.069999999999993,0.1379545454545453
WPG,2021,Connor Hellebuyck,66,16.650000000000006,0.25227272727272737
WSH,2021,Ilya Samsonov,44,-12.060000000000002,-0.27409090909090916
ANA,2022,John Gibson,53,-11.530000000000001,-0.21754716981132077
ARI,2022,Karel Vejmelka,50,11.090000000000003,0.22180000000000008
BOS,2022,Linus Ullmark,49,42.44999999999999,0.8663265306122446
BUF,2022,Ukko-Pekka Luukkonen,33,-5.010000000000005,-0.15181818181818196
CAR,2022,Frederik Andersen,34,-3.450000000000003,-0.1014705882352942
CBJ,2022,Elvis Merzlikins,30,-25.870000000000005,-0.8623333333333335
CGY,2022,Jacob Markstrom,59,-3.0999999999999943,-0.05254237288135583
CHI,2022,Petr Mrazek,39,-6.310000000000002,-0.16179487179487184
COL,2022,Alexandar Georgiev,62,21.919999999999987,0.353548387096774
DAL,2022,Jake Oettinger,62,11.819999999999993,0.19064516129032247
DET,2022,Ville Husso,56,-14.689999999999998,-0.26232142857142854
EDM,2022,Stuart Skinner,50,6.75,0.135
FLA,2022,Sergei Bobrovsky,50,6.199999999999989,0.12399999999999978
LAK,2022,Joonas Korpisalo,39,12.739999999999995,0.32666666666666655
MIN,2022,Marc-Andre Fleury,46,6.550000000000011,0.14239130434782635
MTL,2022,Jake Allen,42,-1.9300000000000068,-0.04595238095238111
NJD,2022,Vitek Vanecek,52,5.069999999999993,0.09749999999999986
NSH,2022,Juuse Saros,64,46.66999999999999,0.7292187499999998
NYI,2022,Ilya Sorokin,62,38.650000000000006,0.6233870967741937
NYR,2022,Igor Shesterkin,58,28.05000000000001,0.48362068965517263
