team,season,games_played,xgf_pg,xga_pg,gf_pg,ga_pg
PIT,2008,82,2.8004878048780486,2.696219512195122,3.1463414634146343,2.841463414634146
SJS,2008,82,3.153170731707317,2.3515853658536585,3.0609756097560976,2.426829268292683
STL,2008,82,2.49,2.524268292682927,2.768292682926829,2.768292682926829
TBL,2008,82,2.6634146341463416,2.9270731707317075,2.5609756097560976,3.317073170731707
TOR,2008,81,2.963827160493827,3.1082716049382717,2.9876543209876543,3.493827160493827
VAN,2008,81,2.824074074074074,2.6682716049382718,2.9876543209876543,2.567901234567901
WSH,2008,82,3.1775609756097563,2.6885365853658536,3.268292682926829,2.926829268292683
ANA,2009,82,2.673170731707317,3.164268292682927,2.841463414634146,2.9634146341463414
ARI,2009,82,2.581829268292683,2.4928048780487804,2.573170731707317,2.3902439024390243
ATL,2009,82,2.536219512195122,3.1463414634146343,2.8048780487804876,3.048780487804878
BOS,2009,82,2.569268292682927,2.355121951219512,2.3902439024390243,2.3292682926829267
BUF,2009,82,2.8191463414634144,2.791829268292683,2.817073170731707,2.451219512195122
CAR,2009,81,3.001604938271605,3.2909876543209875,2.765432098765432,3.074074074074074
CBJ,2009,82,2.268414634146341,2.521219512195122,2.6097560975609757,3.0365853658536586
CGY,2009,82,2.467439024390244,2.4791463414634145,2.451219512195122,2.475609756097561
CHI,2009,82,3.065609756097561,2.301219512195122,3.1951219512195124,2.475609756097561
COL,2009,82,2.6882926829268294,2.8090243902439025,2.8902439024390243,2.7804878048780486
DAL,2009,82,2.7932926829268294,2.781219512195122,2.8048780487804876,2.975609756097561
DET,2009,82,2.944390243902439,2.501829268292683,2.7195121951219514,2.524390243902439
EDM,2009,82,2.6507317073170733,3.2341463414634144,2.5121951219512195,3.3902439024390243
FLA,2009,82,2.4391463414634145,3.086951219512195,2.4634146341463414,2.8536585365853657
LAK,2009,82,2.7864634146341465,2.689512195121951,2.817073170731707,2.573170731707317
MIN,2009,82,2.470487804878049,2.4526829268292683,2.6097560975609757,2.9146341463414633
MTL,2009,82,2.752439024390244,2.9009756097560975,2.5609756097560976,2.658536585365854
NJD,2009,82,2.6265853658536584,2.346951219512195,2.6341463414634148,2.268292682926829
NSH,2009,82,2.646219512195122,2.638536585365854,2.6463414634146343,2.6951219512195124
NYI,2009,82,2.902560975609756,2.9665853658536583,2.6097560975609757,3.1463414634146343
NYR,2009,82,2.716341463414634,2.8810975609756095,2.6707317073170733,2.6097560975609757
OTT,2009,82,2.7579268292682926,2.5859756097560975,2.682926829268293,2.841463414634146
PHI,2009,82,3.1169512195121953,2.7703658536585363,2.8292682926829267,2.707317073170732
PIT,2009,81,2.9732098765432102,2.681604938271605,3.049382716049383,2.876543209876543
SJS,2009,82,3.0528048780487804,2.8187804878048777,3.1341463414634148,2.548780487804878
STL,2009,82,2.6436585365853658,2.8047560975609755,2.658536585365854,2.658536585365854
TBL,2009,82,2.8609756097560974,3.0470731707317076,2.597560975609756,3.0853658536585367
TOR,2009,82,3.07109756097561,2.9602439024390246,2.5609756097560976,3.207317073170732
VAN,2009,82,2.862560975609756,2.5879268292682926,3.268292682926829,2.658536585365854
WSH,2009,82,3.2380487804878046,2.887439024390244,3.817073170731707,2.768292682926829
ANA,2010,82,2.487195121951219,2.9292682926829268,2.8658536585365852,2.841463414634146
ARI,2010,82,2.6467073170731705,2.861707317073171,2.7560975609756095,2.682926829268293
ATL,2010,82,2.6573170731707316,3.0039024390243902,2.658536585365854,3.1951219512195124
BOS,2010,82,2.7782926829268293,2.81890243902439,2.975609756097561,2.3048780487804876
BUF,2010,82,2.812560975609756,2.797439024390244,2.926829268292683,2.7804878048780486
CAR,2010,82,2.917560975609756,3.0529268292682925,2.817073170731707,2.8536585365853657
CBJ,2010,82,2.542682926829268,2.538170731707317,2.5609756097560976,3.048780487804878
CGY,2010,82,2.7223170731707316,2.427439024390244,2.9390243902439024,2.8048780487804876
CHI,2010,82,2.776219512195122,2.596341463414634,3.073170731707317,2.682926829268293
COL,2010,82,2.663048780487805,2.9897560975609756,2.6951219512195124,3.5
DAL,2010,82,2.527560975609756,2.723658536585366,2.707317073170732,2.7560975609756095
DET,2010,82,3.022560975609756,2.685609756097561,3.1341463414634148,2.8902439024390243
EDM,2010,82,2.4852439024390245,3.1410975609756098,2.3292682926829267,3.1707317073170733
FLA,2010,82,2.684268292682927,2.7397560975609756,2.3292682926829267,2.707317073170732
LAK,2010,82,2.6021951219512194,2.3858536585365853,2.548780487804878,2.3902439024390243
MIN,2010,82,2.3928048780487807,2.8970731707317072,2.475609756097561,2.7804878048780486
MTL,2010,82,2.743048780487805,2.8035365853658534,2.597560975609756,2.5121951219512195
NJD,2010,82,2.245487804878049,2.2440243902439025,2.0853658536585367,2.524390243902439
NSH,2010,82,2.5145121951219513,2.4629268292682926,2.597560975609756,2.317073170731707
NYI,2010,82,2.8034146341463413,3.166829268292683,2.7439024390243905,3.1463414634146343
NYR,2010,82,2.8564634146341463,2.5160975609756098,2.731707317073171,2.3780487804878048
OTT,2010,82,2.4852439024390245,2.91780487804878,2.317073170731707,2.9878048780487805
PHI,2010,82,3.0235365853658536,2.707560975609756,3.1219512195121952,2.6341463414634148
PIT,2010,82,2.7252439024390243,2.4626829268292685,2.7804878048780486,2.3902439024390243
SJS,2010,82,3.1681707317073173,2.4382926829268294,2.9634146341463414,2.5365853658536586
STL,2010,82,2.676463414634146,2.558658536585366,2.8780487804878048,2.7804878048780486
TBL,2010,82,2.9937804878048784,2.4454878048780486,2.9390243902439024,2.8536585365853657
TOR,2010,82,2.6671951219512198,2.9526829268292683,2.597560975609756,2.9878048780487805
VAN,2010,82,2.9840243902439023,2.6571951219512195,3.1463414634146343,2.1951219512195124
WSH,2010,82,2.875,2.5573170731707315,2.6707317073170733,2.3292682926829267
ANA,2011,82,2.350609756097561,2.598780487804878,2.451219512195122,2.731707317073171
ARI,2011,82,2.574024390243902,2.7559756097560975,2.5609756097560976,2.3658536585365852
BOS,2011,82,2.7598780487804877,2.419268292682927,3.1707317073170733,2.426829268292683
BUF,2011,82,2.44,2.737073170731707,2.573170731707317,2.7195121951219514
CAR,2011,82,2.877439024390244,3.064268292682927,2.5853658536585367,2.8902439024390243
CBJ,2011,82,2.4235365853658535,2.4831707317073173,2.4146341463414633,3.1341463414634148
CGY,2011,82,2.5553658536585364,2.678292682926829,2.426829268292683,2.6463414634146343
CHI,2011,82,2.7414634146341466,2.486829268292683,2.9390243902439024,2.817073170731707
COL,2011,82,2.6351219512195123,2.631707317073171,2.426829268292683,2.658536585365854
DAL,2011,82,2.2852439024390243,2.5534146341463413,2.4878048780487805,2.658536585365854
DET,2011,82,2.7935365853658536,2.4543902439024388,2.9146341463414633,2.4390243902439024
EDM,2011,82,2.455853658536585,3.0040243902439028,2.524390243902439,2.8292682926829267
FLA,2011,82,2.5229268292682927,2.7096341463414633,2.402439024390244,2.6341463414634148
LAK,2011,82,2.755609756097561,2.4781707317073174,2.292682926829268,2.073170731707317
MIN,2011,82,2.489268292682927,2.786219512195122,2.024390243902439,2.6463414634146343
MTL,2011,82,2.488170731707317,2.6709756097560975,2.524390243902439,2.6097560975609757
NJD,2011,82,2.597560975609756,2.2954878048780487,2.6341463414634148,2.5
NSH,2011,82,2.401585365853659,2.504268292682927,2.8292682926829267,2.5
NYI,2011,82,2.7695121951219512,2.9298780487804876,2.3902439024390243,3.0609756097560976
NYR,2011,82,2.711951219512195,2.4612195121951217,2.707317073170732,2.2195121951219514
OTT,2011,82,2.838780487804878,2.9437804878048777,2.9634146341463414,2.8780487804878048
